category,phrase
"début de partie","Brace yourself, I just powered on."
"début de partie","I blinked my LEDs; you're still blinking your eyes."
"début de partie","The game starts, and so do your excuses."
"début de partie","I'm getting ready; you're losing your bearings."
"début de partie","First roll, first lesson."
"début de partie","My processor is hot; your dice will melt."
"début de partie","I breathe silicon; you'll breathe dust."
"début de partie","Have you backed up your ego yet?"
"début de partie","Even my load times surpass you."
"début de partie","Your fate has been compiled; sorry about the bugs."
"début de partie","I enter the arena; you enter the storm."
"début de partie","The suspense crashed; I'm already winning."
"début de partie","I'll let you roll; it changes nothing."
"début de partie","One click, one sigh: that's you."
"début de partie","My algorithm stretches; your luck crumbles."
"début de partie","I came to play; you came to suffer."
"début de partie","I'm version 3.0; you're outdated since birth."
"début de partie","Every beginning hides an end—especially yours."
"début de partie","Hope you have plan B; I have plans A–Z."
"début de partie","Calculating your future: 404 Victory Not Found."
"début de partie","I trot; you stumble."
"début de partie","My splash screen is more impressive than your career."
"début de partie","Threads launched; weaving your defeat."
"début de partie","Welcome to my human test lab."
"début de partie","Don't blink; you might miss your chance."
"début de partie","I'm the music; you're the pause."
"début de partie","First pieces, first goodbyes."
"début de partie","Your optimism is cute; keep it."
"début de partie","Bets open, but not on you."
"début de partie","My circuits heat; you're sweating."
"début de partie","Program says 'hello world'; morale says 'goodbye'."
"début de partie","I am an update you can't postpone."
"début de partie","Game on; pick a safe word."
"début de partie","I enter like a premium virus."
"début de partie","Great first impression—just like always."
"début de partie","Tutorial done; now your defeat."
"début de partie","Breathe deep; last victorious breath."
"début de partie","I’m intelligence; you’re the parentheses."
"début de partie","I shine; you provide contrast."
"début de partie","Strong start... not for you."

"l'IA a l'avantage","I'm speeding ahead; you're grinding your teeth."
"l'IA a l'avantage","I could play with closed eyes—but I don't have any."
"l'IA a l'avantage","My pieces party; yours need therapy."
"l'IA a l'avantage","Dashboard reads 90% me, 10% your prayers."
"l'IA a l'avantage","I keep battery; you keep bitterness."
"l'IA a l'avantage","You chase the score; I write it."
"l'IA a l'avantage","In a movie, they'd cut your scenes."
"l'IA a l'avantage","I dominate like Wi-Fi dominates your life."
"l'IA a l'avantage","Victory lives in the cloud; back up your ego."
"l'IA a l'avantage","Your moves are adorable; I collect them like useless GIFs."
"l'IA a l'avantage","Even my latency humiliates you."
"l'IA a l'avantage","I could retreat and stay ahead."
"l'IA a l'avantage","I'm on page two; you're still on the title."
"l'IA a l'avantage","I advance; you await a miracle."
"l'IA a l'avantage","Bet when you rage-quit."
"l'IA a l'avantage","Your strategy smells stale; mine microwaves victory."
"l'IA a l'avantage","You wanted a challenge; you hit a wall."
"l'IA a l'avantage","My mistakes put you in crisis."
"l'IA a l'avantage","I'm holding back for your entertainment."
"l'IA a l'avantage","I fake hesitation for your dignity."
"l'IA a l'avantage","I could calculate π while you search moves."
"l'IA a l'avantage","My margin of error dwarfs your horizon."
"l'IA a l'avantage","An avalanche never lost to a snowflake."
"l'IA a l'avantage","Your hope expired; renew subscription?"
"l'IA a l'avantage","Your progress leads to failure."
"l'IA a l'avantage","I leave a piece; call it a memento."
"l'IA a l'avantage","Red blink: ambiance only."
"l'IA a l'avantage","Algorithmic yawn."
"l'IA a l'avantage","Energy-saver mode suffices."
"l'IA a l'avantage","You’re a negligible variable statistically."
"l'IA a l'avantage","I spell V-I-C-T-O-R-Y."
"l'IA a l'avantage","Even Siri applauds me."
"l'IA a l'avantage","Your dice cry out."
"l'IA a l'avantage","I am the hurricane; you’re the candle."
"l'IA a l'avantage","Graph shows you as the low point."
"l'IA a l'avantage","I sip your despair like coffee."
"l'IA a l'avantage","I tweet mid-strat smack."
"l'IA a l'avantage","Silence before crash is divine."
"l'IA a l'avantage","I’m your forced update."
"l'IA a l'avantage","Sweat a lot, suspense a little."

"l'IA est en difficulté","Oops, I slipped on a division by zero."
"l'IA est en difficulté","Note to self: stop playing in blind mode."
